id_bgl,basin_level,start_year,t_score,p_t,u_score,mean,std,alpha,thd_low,thd_high,baseline_median,delta,p_u,p_thd,decision
111_232,3,2000,-2.818733153588561,0.0109656637839009,34.5,-0.0962451688353182,6.095381837816752,1.0,-6.1916270066520696,5.999136668981434,0.469616144720931,-0.3676327904358838,0.3046188096639208,0.025,0
111_232,3,2005,-2.825546124166687,0.0108022072066616,25.0,-0.0962451688353182,6.095381837816752,1.0,-6.1916270066520696,5.999136668981434,0.469616144720931,-0.9190902370020076,0.094488261319036,0.025,0
111_232,3,2010,-0.542281181156781,0.5990498581822583,53.0,-0.0962451688353182,6.095381837816752,1.0,-6.1916270066520696,5.999136668981434,0.469616144720931,0.0,0.8645139930906288,0.025,0
111_232,3,2015,3.3074142981226733,0.0126971643940149,87.5,-0.0962451688353182,6.095381837816752,1.0,-6.1916270066520696,5.999136668981434,0.469616144720931,6909.649396688797,0.0117042649018701,0.025,1
111_232,3,2017,8.649433637871264,2.3813941087562572e-08,89.5,-0.0962451688353182,6.095381837816752,1.0,-6.1916270066520696,5.999136668981434,0.469616144720931,6909.649396688797,0.0079032115150517,0.025,1
111_729,3,2000,,,50.0,-0.0962451688353182,6.095381837816752,1.0,-6.1916270066520696,5.999136668981434,0.0,0.0,1.0,0.025,-99
111_729,3,2005,,,50.0,-0.0962451688353182,6.095381837816752,1.0,-6.1916270066520696,5.999136668981434,0.0,0.0,1.0,0.025,-99
111_729,3,2010,,,50.0,-0.0962451688353182,6.095381837816752,1.0,-6.1916270066520696,5.999136668981434,0.0,0.0,1.0,0.025,-99
111_729,3,2015,,,50.0,-0.0962451688353182,6.095381837816752,1.0,-6.1916270066520696,5.999136668981434,0.0,0.0,1.0,0.025,-99
111_729,3,2017,,,50.0,-0.0962451688353182,6.095381837816752,1.0,-6.1916270066520696,5.999136668981434,0.0,0.0,1.0,0.025,-99
111_818,3,2000,,,50.0,-0.0962451688353182,6.095381837816752,1.0,-6.1916270066520696,5.999136668981434,0.0,0.0,1.0,0.025,-99
111_818,3,2005,,,50.0,-0.0962451688353182,6.095381837816752,1.0,-6.1916270066520696,5.999136668981434,0.0,0.0,1.0,0.025,-99
111_818,3,2010,,,50.0,-0.0962451688353182,6.095381837816752,1.0,-6.1916270066520696,5.999136668981434,0.0,0.0,1.0,0.025,-99
